Race,Sex,Age Group,Occupation,Cause of Death (ICD),PMR,Deaths,Significance level,Lower 95% CI,Upper 95% CI
W,F,65-90,ELECTRICAL & ELECTRONIC ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]141, [8]055, [9]055","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,ELECTRICAL & ELECTRONIC ENGINEERS,MN PERITONEUM AND PLEURA,352,<5,,43,1271
,,,"[0]141, [8]055, [9]055","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"INDUSTRIAL, HEALTH & SAFETY ENGINEERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]143, [8]056, [9]056","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"INDUSTRIAL, HEALTH & SAFETY ENGINEERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]143, [8]056, [9]056","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"INDUSTRIAL, HEALTH & SAFETY ENGINEERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]143, [8]056, [9]056","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"INDUSTRIAL, HEALTH & SAFETY ENGINEERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]143, [8]056, [9]056","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,MECHANICAL ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]146, [8]057, [9]057","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,MECHANICAL ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]146, [8]057, [9]057","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,MECHANICAL ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]146, [8]057, [9]057","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,MECHANICAL ENGINEERS,MN PERITONEUM AND PLEURA,464,<5,,56,1678
,,,"[0]146, [8]057, [9]057","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,MARINE ENGINEERS & NAVAL ARCHITECTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]144, [8]058, [9]058","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,MARINE ENGINEERS & NAVAL ARCHITECTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]144, [8]058, [9]058","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,MARINE ENGINEERS & NAVAL ARCHITECTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]144, [8]058, [9]058","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,MARINE ENGINEERS & NAVAL ARCHITECTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]144, [8]058, [9]058","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"BIOMEDICAL, ENVIRONMENTAL ENGINEERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]134, 142","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"BIOMEDICAL, ENVIRONMENTAL ENGINEERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]134, 142","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"BIOMEDICAL, ENVIRONMENTAL ENGINEERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]134, 142","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"BIOMEDICAL, ENVIRONMENTAL ENGINEERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]134, 142","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"ENGINEERS, NEC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]153, [8]059, [9]059","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"ENGINEERS, NEC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]153, [8]059, [9]059","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"ENGINEERS, NEC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]153, [8]059, [9]059","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"ENGINEERS, NEC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]153, [8]059, [9]059","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,SURVEYORS & MAPPING SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]131, [8]063, [9]063","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,SURVEYORS & MAPPING SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]131, [8]063, [9]063","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,SURVEYORS & MAPPING SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]131, [8]063, [9]063","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,SURVEYORS & MAPPING SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]131, [8]063, [9]063","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,MATHEMATICAL & COMPUTER RELATED OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]100-124, 070-071, 073, [8]064-068, [9]064-068","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,MATHEMATICAL & COMPUTER RELATED OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]100-124, 070-071, 073, [8]064-068, [9]064-068","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,MATHEMATICAL & COMPUTER RELATED OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]100-124, 070-071, 073, [8]064-068, [9]064-068","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,MATHEMATICAL & COMPUTER RELATED OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]100-124, 070-071, 073, [8]064-068, [9]064-068","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,COMPUTER RELATED OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]100-111, [8]064-065, [9]064-065","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,COMPUTER RELATED OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]100-111, [8]064-065, [9]064-065","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,COMPUTER RELATED OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]100-111, [8]064-065, [9]064-065","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,COMPUTER RELATED OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]100-111, [8]064-065, [9]064-065","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"ANALYSTS, ACTUARIES, STATISTICIANS & MATHEMATICIANS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]070-071, 073, 120-124, [8]066-068, [9]065-068","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"ANALYSTS, ACTUARIES, STATISTICIANS & MATHEMATICIANS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]070-071, 073, 120-124, [8]066-068, [9]065-068","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"ANALYSTS, ACTUARIES, STATISTICIANS & MATHEMATICIANS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]070-071, 073, 120-124, [8]066-068, [9]065-068","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"ANALYSTS, ACTUARIES, STATISTICIANS & MATHEMATICIANS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]070-071, 073, 120-124, [8]066-068, [9]065-068","[0]C384, C48, [9]158, 163",,,,,
