Race,Sex,Age Group,Occupation,Cause of Death (ICD),PMR,Deaths,Significance level,Lower 95% CI,Upper 95% CI
W,F,65-90,LIFE AND PHYSICAL SCIENTISTS,MN PERITONEUM AND PLEURA,447,<5,,11,2490
,,,"[0]160-176, [8]069-083, [9]069-083","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,LIFE AND PHYSICAL SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]160-176, [8]069-083, [9]069-083","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,PHYSICISTS & ASTRONOMERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]170, [8]069, [9]069","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,PHYSICISTS & ASTRONOMERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]170, [8]069, [9]069","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,PHYSICISTS & ASTRONOMERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]170, [8]069, [9]069","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,PHYSICISTS & ASTRONOMERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]170, [8]069, [9]069","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,CHEMISTS & MATERIALS SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]172, [8]073, [9]073","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,CHEMISTS & MATERIALS SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]172, [8]073, [9]073","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,CHEMISTS & MATERIALS SCIENTISTS,MN PERITONEUM AND PLEURA,1418,<5,,35,7899
,,,"[0]172, [8]073, [9]073","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,CHEMISTS & MATERIALS SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]172, [8]073, [9]073","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,ATMOSPHERIC & SPACE SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]171, [8]074, [9]074","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,ATMOSPHERIC & SPACE SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]171, [8]074, [9]074","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,ATMOSPHERIC & SPACE SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]171, [8]074, [9]074","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,ATMOSPHERIC & SPACE SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]171, [8]074, [9]074","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,ENVIRONMENTAL & GEOSCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]164, 174, 176, [8]075, 076, [9]075, 076","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,ENVIRONMENTAL & GEOSCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]164, 174, 176, [8]075, 076, [9]075, 076","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,ENVIRONMENTAL & GEOSCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]164, 174, 176, [8]075, 076, [9]075, 076","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,ENVIRONMENTAL & GEOSCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]164, 174, 176, [8]075, 076, [9]075, 076","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,AGRICULTURAL & FOOD SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]160, [8]077, [9]077","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,AGRICULTURAL & FOOD SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]160, [8]077, [9]077","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,AGRICULTURAL & FOOD SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]160, [8]077, [9]077","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,AGRICULTURAL & FOOD SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]160, [8]077, [9]077","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"BIOLOGICAL, LIFE, AND MEDICAL SCIENTISTS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]161, 165, [8]078, 083, [9]078, 083","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"BIOLOGICAL, LIFE, AND MEDICAL SCIENTISTS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]161, 165, [8]078, 083, [9]078, 083","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"BIOLOGICAL, LIFE, AND MEDICAL SCIENTISTS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]161, 165, [8]078, 083, [9]078, 083","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"BIOLOGICAL, LIFE, AND MEDICAL SCIENTISTS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]161, 165, [8]078, 083, [9]078, 083","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,FORESTERS & CONSERVATION SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]164, [8]079, [9]079","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,FORESTERS & CONSERVATION SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]164, [8]079, [9]079","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,FORESTERS & CONSERVATION SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]164, [8]079, [9]079","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,FORESTERS & CONSERVATION SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]164, [8]079, [9]079","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,ALL HEALTH CARE OCCUPATIONS,MN PERITONEUM AND PLEURA,168,<5,,35,490
,,,"[0]300-365, 035, [8]084-106, 203-214, [9]084-106, 203-214","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,ALL HEALTH CARE OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]300-365, 035, [8]084-106, 203-214, [9]084-106, 203-214","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,ALL HEALTH CARE OCCUPATIONS,MN PERITONEUM AND PLEURA,156,22,,97,235
,,,"[0]300-365, 035, [8]084-106, 203-214, [9]084-106, 203-214","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,ALL HEALTH CARE OCCUPATIONS,MN PERITONEUM AND PLEURA,87,<5,,2,486
,,,"[0]300-365, 035, [8]084-106, 203-214, [9]084-106, 203-214","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,HEALTH DIAGNOSIS AND TREATMENT OCCUPATIONS,MN PERITONEUM AND PLEURA,280,<5,,34,1012
,,,"[0]306-311, [8]084-106, [9]084-106","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,HEALTH DIAGNOSIS AND TREATMENT OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]306-311, [8]084-106, [9]084-106","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,HEALTH DIAGNOSIS AND TREATMENT OCCUPATIONS,MN PERITONEUM AND PLEURA,182,13,,97,310
,,,"[0]306-311, [8]084-106, [9]084-106","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,HEALTH DIAGNOSIS AND TREATMENT OCCUPATIONS,MN PERITONEUM AND PLEURA,135,<5,,3,752
,,,"[0]306-311, [8]084-106, [9]084-106","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,HEALTH DIAGNOSING OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]306-341, [8]084-089, [9]084-089","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,HEALTH DIAGNOSING OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]306-341, [8]084-089, [9]084-089","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,HEALTH DIAGNOSING OCCUPATIONS,MN PERITONEUM AND PLEURA,116,<5,,24,339
,,,"[0]306-341, [8]084-089, [9]084-089","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,HEALTH DIAGNOSING OCCUPATIONS,MN PERITONEUM AND PLEURA,161,<5,,4,895
,,,"[0]306-341, [8]084-089, [9]084-089","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,PHYSICIANS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]306, [8]084, [9]084","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,PHYSICIANS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]306, [8]084, [9]084","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,PHYSICIANS,MN PERITONEUM AND PLEURA,606,<5,,15,3375
,,,"[0]306, [8]084, [9]084","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,PHYSICIANS,MN PERITONEUM AND PLEURA,259,<5,,6,1444
,,,"[0]306, [8]084, [9]084","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,DENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]301, [8]085, [9]085","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,DENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]301, [8]085, [9]085","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,DENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]301, [8]085, [9]085","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,DENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]301, [8]085, [9]085","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,VETERINARIANS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]325, [8]086, [9]086","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,VETERINARIANS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]325, [8]086, [9]086","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,VETERINARIANS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]325, [8]086, [9]086","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,VETERINARIANS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]325, [8]086, [9]086","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,OPTOMETRISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]304, [8]087, [9]087","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,OPTOMETRISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]304, [8]087, [9]087","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,OPTOMETRISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]304, [8]087, [9]087","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,OPTOMETRISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]304, [8]087, [9]087","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,PODIATRISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]312, [8]088, [9]088","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,PODIATRISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]312, [8]088, [9]088","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,PODIATRISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]312, [8]088, [9]088","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,PODIATRISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]312, [8]088, [9]088","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"HEALTH DIAGNOSING PRACTITIONERS, NEC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]300, 326, 341, [8]089, [9]089","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"HEALTH DIAGNOSING PRACTITIONERS, NEC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]300, 326, 341, [8]089, [9]089","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"HEALTH DIAGNOSING PRACTITIONERS, NEC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]300, 326, 341, [8]089, [9]089","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"HEALTH DIAGNOSING PRACTITIONERS, NEC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]300, 326, 341, [8]089, [9]089","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,HEALTH ASSESSMENT & TREATING OCCUPATIONS,MN PERITONEUM AND PLEURA,208,<5,,25,752
,,,"[0]303-305, 311-316, 320-324, 361, [8]095-106, [9]095-106","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,HEALTH ASSESSMENT & TREATING OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]303-305, 311-316, 320-324, 361, [8]095-106, [9]095-106","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,HEALTH ASSESSMENT & TREATING OCCUPATIONS,MN PERITONEUM AND PLEURA,152,14,,83,255
,,,"[0]303-305, 311-316, 320-324, 361, [8]095-106, [9]095-106","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,HEALTH ASSESSMENT & TREATING OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]303-305, 311-316, 320-324, 361, [8]095-106, [9]095-106","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,NURSES,MN PERITONEUM AND PLEURA,199,<5,,24,717
,,,"[0]313, 350, [8]095, 207, [9]095, 207","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,NURSES,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]313, 350, [8]095, 207, [9]095, 207","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,NURSES,MN PERITONEUM AND PLEURA,153,15,,86,252
,,,"[0]313, 350, [8]095, 207, [9]095, 207","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,NURSES,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]313, 350, [8]095, 207, [9]095, 207","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,REGISTERED NURSES,MN PERITONEUM AND PLEURA,270,<5,,33,975
,,,"[0]313, [8]095, [9]095","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,REGISTERED NURSES,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]313, [8]095, [9]095","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,REGISTERED NURSES,MN PERITONEUM AND PLEURA,148,12,,76,258
,,,"[0]313, [8]095, [9]095","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,REGISTERED NURSES,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]313, [8]095, [9]095","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,PHARMACISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]305, [8]096, [9]096","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,PHARMACISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]305, [8]096, [9]096","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,PHARMACISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]305, [8]096, [9]096","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,PHARMACISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]305, [8]096, [9]096","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,DIETITIANS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]303, [8]097, [9]097","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,DIETITIANS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]303, [8]097, [9]097","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,DIETITIANS,MN PERITONEUM AND PLEURA,304,<5,,37,1097
,,,"[0]303, [8]097, [9]097","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,DIETITIANS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]303, [8]097, [9]097","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,THERAPISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]314-316, 320-324, [8]098-105, [9]098-105","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,THERAPISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]314-316, 320-324, [8]098-105, [9]098-105","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,THERAPISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]314-316, 320-324, [8]098-105, [9]098-105","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,THERAPISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]314-316, 320-324, [8]098-105, [9]098-105","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,RESPIRATORY THERAPISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]322, [8]098, [9]098","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,RESPIRATORY THERAPISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]322, [8]098, [9]098","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,RESPIRATORY THERAPISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]322, [8]098, [9]098","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,RESPIRATORY THERAPISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]322, [8]098, [9]098","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,OCCUPATIONAL THERAPISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]315, 361, [8]099, [9]099","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,OCCUPATIONAL THERAPISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]315, 361, [8]099, [9]099","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,OCCUPATIONAL THERAPISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]315, 361, [8]099, [9]099","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,OCCUPATIONAL THERAPISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]315, 361, [8]099, [9]099","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,PHYSICAL THERAPISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]316, [8]103, [9]103","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,PHYSICAL THERAPISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]316, [8]103, [9]103","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,PHYSICAL THERAPISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]316, [8]103, [9]103","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,PHYSICAL THERAPISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]316, [8]103, [9]103","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,SPEECH THERAPISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]323, 314, [8]104, [9]104","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,SPEECH THERAPISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]323, 314, [8]104, [9]104","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,SPEECH THERAPISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]323, 314, [8]104, [9]104","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,SPEECH THERAPISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]323, 314, [8]104, [9]104","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,PHYSICIANS' ASSISTANTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]311, [8]106, [9]106","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,PHYSICIANS' ASSISTANTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]311, [8]106, [9]106","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,PHYSICIANS' ASSISTANTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]311, [8]106, [9]106","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,PHYSICIANS' ASSISTANTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]311, [8]106, [9]106","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"TEACHERS, COUNSELORS, AND TEACHERS' AIDES",MN PERITONEUM AND PLEURA,97,<5,,2,540
,,,"[0]200, 220-234, 254-255, 462-464, [8]113-159, 163, 387, [9]113-159, 163, 387","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"TEACHERS, COUNSELORS, AND TEACHERS' AIDES",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]200, 220-234, 254-255, 462-464, [8]113-159, 163, 387, [9]113-159, 163, 387","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"TEACHERS, COUNSELORS, AND TEACHERS' AIDES",MN PERITONEUM AND PLEURA,102,13,,54,174
,,,"[0]200, 220-234, 254-255, 462-464, [8]113-159, 163, 387, [9]113-159, 163, 387","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"TEACHERS, COUNSELORS, AND TEACHERS' AIDES",MN PERITONEUM AND PLEURA,68,<5,,2,376
,,,"[0]200, 220-234, 254-255, 462-464, [8]113-159, 163, 387, [9]113-159, 163, 387","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,TEACHERS,MN PERITONEUM AND PLEURA,113,<5,,3,632
,,,"[0]220-234, 254-255, [8]113-159, [9]113-159","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,TEACHERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]220-234, 254-255, [8]113-159, [9]113-159","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,TEACHERS,MN PERITONEUM AND PLEURA,109,13,,58,186
,,,"[0]220-234, 254-255, [8]113-159, [9]113-159","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,TEACHERS,MN PERITONEUM AND PLEURA,70,<5,,2,388
,,,"[0]220-234, 254-255, [8]113-159, [9]113-159","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"TEACHERS, POSTSECONDARY",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]220, [8]113-154, [9]113-154","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"TEACHERS, POSTSECONDARY",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]220, [8]113-154, [9]113-154","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"TEACHERS, POSTSECONDARY",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]220, [8]113-154, [9]113-154","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"TEACHERS, POSTSECONDARY",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]220, [8]113-154, [9]113-154","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"TEACHERS, EXC POSTSECONDARY",MN PERITONEUM AND PLEURA,107,<5,,3,598
,,,"[0]230-234, 255, [8]155-159, 387, [9]155-159, 387","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"TEACHERS, EXC POSTSECONDARY",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]230-234, 255, [8]155-159, 387, [9]155-159, 387","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"TEACHERS, EXC POSTSECONDARY",MN PERITONEUM AND PLEURA,112,13,,60,191
,,,"[0]230-234, 255, [8]155-159, 387, [9]155-159, 387","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"TEACHERS, EXC POSTSECONDARY",MN PERITONEUM AND PLEURA,95,<5,,2,527
,,,"[0]230-234, 255, [8]155-159, 387, [9]155-159, 387","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"COUNSELORS, RESIDENTIAL ADVISORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]200, 464, [8]163, [9]163","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"COUNSELORS, RESIDENTIAL ADVISORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]200, 464, [8]163, [9]163","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"COUNSELORS, RESIDENTIAL ADVISORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]200, 464, [8]163, [9]163","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"COUNSELORS, RESIDENTIAL ADVISORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]200, 464, [8]163, [9]163","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"LIBRARIANS, ARCHIVISTS, & CURATORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]240, 243, [8]164, 165, [9]164, 165","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"LIBRARIANS, ARCHIVISTS, & CURATORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]240, 243, [8]164, 165, [9]164, 165","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"LIBRARIANS, ARCHIVISTS, & CURATORS",MN PERITONEUM AND PLEURA,99,<5,,2,554
,,,"[0]240, 243, [8]164, 165, [9]164, 165","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"LIBRARIANS, ARCHIVISTS, & CURATORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]240, 243, [8]164, 165, [9]164, 165","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,SOCIAL SCIENTISTS & RELATED OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]180-186, [8]166-173, [9]166-173","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,SOCIAL SCIENTISTS & RELATED OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]180-186, [8]166-173, [9]166-173","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,SOCIAL SCIENTISTS & RELATED OCCUPATIONS,MN PERITONEUM AND PLEURA,741,<5,,90,2677
,,,"[0]180-186, [8]166-173, [9]166-173","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,SOCIAL SCIENTISTS & RELATED OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]180-186, [8]166-173, [9]166-173","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"SOCIAL, RECREATION, & RELIGIOUS WORKERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]201-206, 462, [8]174-177, [9]174-177","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"SOCIAL, RECREATION, & RELIGIOUS WORKERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]201-206, 462, [8]174-177, [9]174-177","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"SOCIAL, RECREATION, & RELIGIOUS WORKERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]201-206, 462, [8]174-177, [9]174-177","[0]C384, C48, [9]158, 163",,,,,
